service_id,post_id,match_id,start_date,end_date,progress_date,payment_made
1,18,46,2025-05-05,2025-05-19,2025-05-07,1
2,115,55,2024-12-25,2024-12-31,2024-12-29,1
3,50,48,2024-12-21,2024-12-22,2024-12-21,1
4,182,22,2024-12-07,2024-12-14,2024-12-10,1
5,140,77,2024-12-25,2024-12-28,2024-12-26,0
6,185,16,2025-06-14,2025-07-05,2025-06-17,1
7,71,10,2025-01-21,2025-02-14,2025-02-12,1
8,103,71,2025-06-25,2025-07-02,2025-06-28,1
9,106,18,2025-03-21,2025-04-20,2025-03-22,1
10,58,26,2024-08-21,2024-09-03,2024-08-28,1
11,18,15,2025-05-06,2025-05-11,2025-05-09,1
12,115,75,2025-01-06,2025-01-09,2025-01-07,1
13,140,59,2024-12-20,2025-01-17,2025-01-16,1
14,155,45,2024-10-19,2024-10-26,2024-10-19,1
15,181,32,2024-09-10,2024-10-07,2024-09-14,1
16,39,56,2024-09-24,2024-09-28,2024-09-24,1
17,39,92,2024-09-16,2024-09-21,2024-09-18,0
18,56,51,2024-12-14,2024-12-20,2024-12-16,0
19,162,53,2025-06-09,2025-07-03,2025-06-22,1
20,116,34,2025-06-09,2025-06-22,2025-06-21,0
21,103,71,2025-06-22,2025-07-09,2025-07-02,1
22,117,76,2024-08-17,2024-09-06,2024-08-20,1
23,162,88,2025-06-11,2025-06-17,2025-06-13,0
24,10,23,2025-03-23,2025-03-30,2025-03-28,0
25,160,28,2025-02-16,2025-02-19,2025-02-17,1
26,181,32,2024-09-12,2024-10-12,2024-09-23,0
27,18,46,2025-05-07,2025-05-24,2025-05-16,1
28,185,78,2025-06-09,2025-06-11,2025-06-10,1
29,147,57,2024-10-10,2024-10-17,2024-10-11,1
30,58,26,2024-08-18,2024-08-31,2024-08-22,1
31,18,46,2025-05-02,2025-05-04,2025-05-03,0
32,143,11,2025-02-22,2025-02-24,2025-02-22,0
33,2,68,2025-06-17,2025-06-18,2025-06-17,1
34,106,18,2025-03-25,2025-03-27,2025-03-25,1
35,119,93,2024-11-23,2024-12-22,2024-12-19,1
36,119,93,2024-11-21,2024-11-27,2024-11-25,1
37,116,34,2025-06-08,2025-06-20,2025-06-13,0
38,146,36,2024-11-02,2024-11-23,2024-11-18,1
39,123,20,2025-01-23,2025-01-30,2025-01-24,0
40,158,82,2024-09-08,2024-10-01,2024-09-22,0
41,43,100,2024-08-10,2024-08-27,2024-08-20,1
42,143,11,2025-02-24,2025-03-22,2025-03-03,1
43,91,64,2025-01-02,2025-01-18,2025-01-08,1
44,116,5,2025-06-08,2025-06-18,2025-06-10,0
45,65,39,2025-05-25,2025-05-31,2025-05-30,1
46,109,73,2025-06-10,2025-06-22,2025-06-16,1
47,97,14,2025-07-03,2025-07-04,2025-07-03,1
48,116,80,2025-06-12,2025-06-19,2025-06-17,1
49,181,32,2024-09-12,2024-09-16,2024-09-13,1
50,146,36,2024-11-02,2024-11-18,2024-11-05,1
51,147,27,2024-10-09,2024-10-25,2024-10-13,1
52,185,25,2025-06-18,2025-07-07,2025-07-05,1
53,132,47,2024-11-29,2024-12-21,2024-12-20,0
54,182,22,2024-12-03,2024-12-14,2024-12-11,1
55,12,30,2024-11-09,2024-11-12,2024-11-11,1
56,158,82,2024-09-06,2024-10-05,2024-10-04,1
57,160,28,2025-02-14,2025-02-23,2025-02-19,1
58,122,98,2025-03-29,2025-04-13,2025-03-31,1
59,117,76,2024-08-15,2024-08-18,2024-08-16,0
60,182,22,2024-12-03,2024-12-23,2024-12-05,1
61,147,57,2024-10-13,2024-11-08,2024-10-28,1
62,135,66,2025-07-16,2025-07-26,2025-07-24,1
63,65,39,2025-05-26,2025-06-13,2025-05-29,1
64,65,39,2025-05-28,2025-06-16,2025-06-05,0
65,140,77,2024-12-28,2024-12-29,2024-12-28,1
66,162,88,2025-06-06,2025-06-09,2025-06-08,1
67,185,16,2025-06-17,2025-06-21,2025-06-19,0
68,130,19,2025-03-09,2025-03-18,2025-03-16,1
69,116,80,2025-06-10,2025-06-23,2025-06-11,1
70,199,54,2024-12-16,2024-12-29,2024-12-26,1
71,14,31,2025-07-25,2025-08-20,2025-08-04,1
72,12,30,2024-11-10,2024-12-04,2024-12-01,1
73,2,68,2025-06-18,2025-07-15,2025-06-28,0
74,116,5,2025-06-07,2025-06-09,2025-06-08,1
75,141,99,2024-10-14,2024-11-11,2024-10-29,0
76,39,92,2024-09-19,2024-10-15,2024-10-09,1
77,43,58,2024-07-23,2024-08-15,2024-07-28,1
78,39,56,2024-09-23,2024-10-05,2024-10-03,1
79,132,47,2024-11-26,2024-12-26,2024-12-17,1
80,160,44,2025-02-19,2025-03-20,2025-03-05,1
